Called with a command name
Number,PID,microseconds
0,83911,1599
1,83911,9966
2,83911,9972
3,83911,9988
4,83911,700
5,83911,3857
6,83911,5143
7,83911,651
8,83911,490
9,83911,47
10,83911,280
11,83911,15709
12,83911,336
13,83911,40523
14,83911,36104
15,83911,58408
16,83911,5422
17,83911,8140
18,83911,300
19,83911,27336
20,83911,4823
21,83911,7494
22,83911,126
23,83911,50960
24,83911,35979
25,83911,64029
26,83911,7586
27,83911,26165
28,83911,1704
29,83911,64045
30,83911,27787
31,83911,8100
32,83911,64070
33,83911,35876
34,83911,17957
35,83911,46118
36,83911,35819
37,83911,44571
38,83911,9899
39,83911,9589
40,83911,316
41,83911,9982
42,83911,23338
43,83911,2092
44,83911,64246
45,83911,35703
46,83911,64318
47,83911,35615
48,83911,64406
49,83911,35556
50,83911,64453
51,83911,1063
52,83911,34416
53,83911,3964
54,83911,7542
55,83911,39257
56,83911,8
57,83911,9923
58,83911,3753
59,83911,35449
60,83911,64571
61,83911,35399
62,83911,64620
63,83911,26081
64,83911,9221
65,83911,64736
66,83911,35204
67,83911,64758
68,83911,35207
69,83911,43578
70,83911,61
71,83911,9252
72,83911,10012
73,83911,1212
74,83911,8730
75,83911,10011
76,83911,16395
77,83911,63493
78,83911,1408
79,83911,35051
80,83911,64959
81,83911,35003
82,83911,64998
83,83911,11613
84,83911,23312
85,83911,65080
86,83911,34882
87,83911,3107
88,83911,7542
89,83911,25821
90,83911,28632
91,83911,24727
92,83911,9539
93,83911,65185
94,83911,34782
95,83911,65241
96,83911,24595
97,83911,10043
98,83911,65282
99,83911,15496
100,83911,19129
101,83911,65334
102,83911,34622
103,83911,65399
104,83911,34563
105,83911,65439
106,83911,34518
107,83911,29173
108,83911,36313
109,83911,34476
110,83911,65534
111,83911,34427
112,83911,65595
113,83911,34374
114,83911,2223
115,83911,7556
116,83911,39089
117,83911,22
118,83911,9970
119,83911,6661
120,83911,3293
121,83911,10003
122,83911,10004
123,83911,11085
124,83911,65614
125,83911,34355
126,83911,35392
127,83911,9995
128,83911,10021
129,83911,9953
130,83911,277
131,83911,9674
132,83911,25
133,83911,13311
134,83911,400
135,83911,9532
136,83911,1277
137,83911,8611
138,83911,10013
139,83911,47075
140,83911,34245
141,83911,65763
142,83911,34199
143,83911,41784
144,83911,930
145,83911,3768
146,83911,4543
147,83911,10001
148,83911,4034
149,83911,5890
150,83911,9977
151,83911,18219
152,83911,65841
153,83911,4141
154,83911,636
155,83911,172
156,83911,204
157,83911,17468
158,83911,316
159,83911,9359
160,83911,1671
161,83911,8093
162,83911,9991
163,83911,10036
164,83911,37692
165,83911,26254
166,83911,2590
167,83911,5185
168,83911,65975
169,83911,33961
170,83911,66035
171,83911,33933
172,83911,1179
173,83911,64914
174,83911,33867
175,83911,55132
176,83911,1797
177,83911,240
178,83911,342
179,83911,707
180,83911,2558
181,83911,5148
182,83911,4757
183,83911,3334
184,83911,10001
185,83911,3329
186,83911,144
187,83911,4060
188,83911,5730
189,83911,84
190,83911,1255
191,83911,81
192,83911,851
193,83911,3259
194,83911,18
195,83911,73
196,83911,158
197,83911,1943
198,83911,2715
199,83911,426
200,83911,2215
201,83911,3068
202,83911,913
203,83911,2273
204,83911,3327
205,83911,6155
206,83911,2408
207,83911,3730
208,83911,3832
209,83911,518
210,83911,16
211,83911,74
212,83911,3204
213,83911,1875
214,83911,2641
215,83911,20186
216,83911,439
217,83911,2145
218,83911,98
219,83911,3206
220,83911,1443
221,83911,1275
222,83911,8862
223,83911,1316
224,83911,66
225,83911,1279
226,83911,13374
227,83911,10616
228,83911,1232
229,83911,45
230,83911,3963
231,83911,2872
232,83911,1476
233,83911,62
234,83911,39
235,83911,1412
236,83911,1285
237,83911,103
238,83911,1885
239,83911,25928
240,83911,1779
241,83911,1641
242,83911,1065
243,83911,145
244,83911,1233
245,83911,8813
246,83911,17811
247,83911,1194
248,83911,28
249,83911,3137
250,83911,1303
251,83911,41
252,83911,1485
253,83911,8469
